url,url_length,count_digits,count_special,has_ip,num_subdomains,is_https,url_entropy,contains_suspicious_word,domain_length,domain_age_days,tld,label,url_type
http://57045.info/7Hl8KG3kNpW,70,7,9,1,1,0,3.7238,1,24,515,info,1,Legitimate
https://ow5fzwq8w.co/F2zlnfM/nK,24,2,3,0,1,0,3.8183,1,20,1046,us,1,Phishing
https://p6eud9v.net/Jb02fWksHEkR,92,3,2,1,0,1,5.5705,0,10,1493,info,0,Legitimate
http://sugeyyc.co/c5YOfejx,92,0,7,1,1,1,4.0221,0,23,880,site,0,Phishing
https://u92waeuik0m8.uk/eht9R0uXxfWj7,18,0,8,0,0,1,4.239,1,21,1241,us,1,Phishing
https://e03xua3t95fwz.com/LFMNPp8bSxIMJkpqZ-rD,97,12,9,1,1,0,5.7828,0,21,1171,biz,1,Legitimate
https://k5t0x269ujumf.online/RhEWjw-S,68,5,6,1,2,0,5.75,1,22,1783,online,0,Legitimate
https://icb0u1bvh2rtqq.online/4SjJvlFT,89,8,4,1,1,1,4.6244,0,13,427,uk,0,Phishing
http://5cujhuo.xyz/w8kZZbs/8dfBoaa,73,12,8,0,0,0,3.2655,0,12,710,info,1,Phishing
http://cb2x6vetz.uk/RU_8OpeVCn,49,11,4,1,0,1,5.1369,1,19,176,net,1,Legitimate
https://8ykt9zq.io/N_Up6uRr8liBRXg,69,9,4,0,0,1,3.1626,0,15,1168,io,0,Legitimate
http://b70jh5mz8b6h4.info//1CReZ977KQplAiQIZB,35,1,5,0,3,1,4.0032,0,16,1423,info,1,Legitimate
https://gai04k8.site/AhhQOAyH1UZ,48,1,7,0,0,0,4.1308,0,7,668,com,1,Legitimate
http://mxu894y51eu3l.co/-E68k6e,34,8,7,0,2,0,5.8884,1,8,1831,org,1,Legitimate
https://0iuz4oj1ly8ls0.net/9eXpL/CLog6IlvFz,33,5,5,0,3,0,5.0375,1,19,1176,xyz,0,Legitimate
